vlen,SimSecond,label
128,1.879889,RVV
256,1.418192,RVV
512,1.23439,RVV
1024,1.182808,RVV
128,2.295064,RV
256,1.489329,RV
512,1.229503,RV
1024,1.179318,RV
128,1.852502,RVV-L1D64KB
256,1.386675,RVV-L1D64KB
512,1.198946,RVV-L1D64KB
1024,1.149186,RVV-L1D64KB
128,2.271193,RV-L1D64KB
256,1.460876,RV-L1D64KB
512,1.201552,RV-L1D64KB
1024,1.145601,RV-L1D64KB
128,1.795383,RVV-Latency/2
256,1.328793,RVV-Latency/2
512,1.195356,RVV-Latency/2
1024,1.159228,RVV-Latency/2
128,2.263134,RV-Latency/2
256,1.44407,RV-Latency/2
512,1.194624,RV-Latency/2
1024,1.15655,RV-Latency/2
