workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
rv,8,100,5441.765,317.032
rv,16,100,6672.908,479.714
rv,32,100,9550.894,768.522
rv,64,100,14617.834,1223.152
rv,128,100,24427.841,1999.798
rv,256,100,44589.182,3596.673
rv,512,100,87531.959,6879.725
rv,1024,100,168192.854,13450.096
rv,2048,100,334174.604,25986.343
rv,3072,100,480942.643,37275.247
rv,4096,100,636263.475,49430.442
rvv,8,100,5399.555,314.240
rvv,16,100,6396.675,463.065
rvv,32,100,8633.072,688.257
rvv,64,100,12254.753,1011.277
rvv,128,100,19364.212,1565.689
rvv,256,100,33330.866,2679.270
rvv,512,100,63978.418,5104.721
rvv,1024,100,121376.936,9702.328
rvv,2048,100,238696.129,18491.312
rvv,3072,100,340361.161,26347.472
rvv,4096,100,449459.124,34769.748
