workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
hifive,random,euclidean,8,1000,100,100,0.295227,295226922809,265754504,265758933,413475,413482,1.333615,0.749842,51884301,1711,0.000033,60349.900643,79284063,1347201,0.016708,27844.451818,53154942,1284328,0.023592,27529.553626,26129121,62873,0.002400,34276.983491,1463630,21485,0.014467,86336.932558
hifive,random,euclidean,1024,1000,100,100,8.701317,8701317467745,8189423977,8189428000,522556,522556,1.275518,0.783995,1050972830,1703,0.000002,62721.524956,2063517534,5538587,0.002677,36645.073357,2029352640,5139262,0.002526,37119.983875,34164894,399325,0.011553,30533.035347,62484451,2719623,0.041709,82183.008400
hifive,random,euclidean,16,1000,100,100,0.365247,365246925267,318086531,318090834,423039,423045,1.378467,0.725444,61768503,1703,0.000028,60837.859072,94235227,1782225,0.018561,27760.014725,67277294,1718056,0.024901,27520.552604,26957933,64169,0.002375,34171.355623,1906837,21769,0.011287,86185.225642
hifive,random,euclidean,512,1000,100,100,4.487155,4487155482075,4236057120,4236061395,515003,515003,1.271640,0.786386,556690480,1705,0.000003,62039.201760,1076826335,3491103,0.003232,27855.237652,1043197399,3264723,0.003120,27743.070992,33628936,226380,0.006687,29472.841126,28692412,101180,0.003514,67452.439049
hifive,random,euclidean,256,1000,100,100,2.319931,2319930834662,2181062415,2181066766,506672,506673,1.276915,0.783138,299201482,1707,0.000006,60612.339777,563518647,2374519,0.004196,27689.160458,530800488,2236815,0.004196,27529.528783,32718159,137704,0.004191,30282.160838,14687724,35751,0.002428,71404.234175
hifive,random,euclidean,64,1000,100,100,0.743109,743108718401,681616643,681620774,467009,467012,1.308782,0.764069,109938565,1711,0.000016,59779.312683,187585593,1738636,0.009183,27717.972997,157296683,1651377,0.010389,27520.649800,30288910,87259,0.002873,31452.315463,6236851,21697,0.003467,85326.108356
hifive,random,euclidean,2048,1000,100,100,17.290877,17290877275609,16289291384,16289295451,535099,535099,1.274295,0.784748,2063668848,1708,0.000001,62218.467213,4086678189,8180062,0.001998,45097.228383,4051374916,7561657,0.001863,46284.028364,35303273,618405,0.017215,30585.420776,131430379,7344109,0.052921,83279.330065
hifive,random,euclidean,32,1000,100,100,0.511030,511029880417,441973461,441977548,439178,439182,1.388050,0.720435,78843578,1700,0.000022,59504.130000,125919349,2497244,0.019446,27693.865622,97115894,2425432,0.024366,27555.079651,28803455,71812,0.002487,32381.326436,2824261,22698,0.007973,85780.957661
hifive,random,euclidean,4096,1000,100,100,34.967673,34967673130348,32196729725,32196733800,527282,527282,1.303797,0.766991,4052293837,1705,0.000000,62540.956012,8024243258,48901828,0.006057,33325.152602,7987903175,47161754,0.005869,33477.404580,36340083,1740074,0.045695,29198.621014,374182814,14726627,0.037866,83633.214872
hifive,random,euclidean,128,1000,100,100,1.264649,1264648941332,1176668565,1176672724,490626,490627,1.290241,0.775049,172875245,1709,0.000010,60075.921006,312061766,1986418,0.006325,27698.946471,280401024,1872164,0.006632,27521.932653,31660742,114254,0.003596,30599.491729,9143923,26381,0.002877,77519.485728
hifive,random,euclidean,3072,1000,100,100,25.592371,25592370562024,24095659524,24095663643,531877,531877,1.275048,0.784284,3039356121,1706,0.000001,61912.016999,6034856039,12187583,0.002015,45837.714243,5998774094,11386076,0.001894,46909.893935,36081945,801507,0.021731,30606.506712,197850560,11271401,0.053899,83439.657896
