metric,value
SimSecond,2.101555
SimTick,2101555492000
SimIns,3259551622
SimOp,3259658833
HstInsRate,272129
HstOpRate,272138
L1d_TotHits,1032379896
L1d_TotMisses,84378116
L1d_TotMissRate,0.075556
L1d_TotAvgMissLat,34495.999697
L1d_ReadReqHits,740512212
L1d_ReadReqMisses,77282585
L1d_ReadReqMissRate,0.094501
L1d_ReadReqAvgMissLat,36382.378708
L1d_WriteReqHits,291867684
L1d_WriteReqMisses,7095531
L1d_WriteReqMissRate,0.023734
L1d_WriteReqAvgMissLat,13950.074907
L1i_TotHits,1048627652
L1i_TotMisses,2535
L1i_TotMissRate,0.000002
L1i_TotAvgMissLat,64843.392505
L1i_ReadReqHits,1048627652
L1i_ReadReqMisses,2535
L1i_ReadReqMissRate,0.000002
L1i_ReadReqAvgMissLat,64843.392505
L2_TotHits,29874384
L2_TotMisses,10627654
L2_TotMissRate,0.262398
L2_TotAvgMissLat,85792.520313
CPU_CPI,0.644738
CPU_IPC,1.551019
