workload_type,dimension,topk,M,ef,avg_recall(%)
sse42,384,100,8,100,91.539
sse42,384,100,8,128,91.949
sse42,384,100,8,200,92.321
sse42,384,100,8,256,92.449
sse42,384,100,8,300,92.480
sse42,384,100,8,400,92.540
sse42,384,100,8,512,92.541
sse42,384,100,16,100,95.234
sse42,384,100,16,128,95.712
sse42,384,100,16,200,96.171
sse42,384,100,16,256,96.329
sse42,384,100,16,300,96.390
sse42,384,100,16,400,96.442
sse42,384,100,16,512,96.469
sse42,384,100,32,100,96.156
sse42,384,100,32,128,96.849
sse42,384,100,32,200,97.557
sse42,384,100,32,256,97.816
sse42,384,100,32,300,97.920
sse42,384,100,32,400,98.067
sse42,384,100,32,512,98.139
sse42,384,100,64,100,96.391
sse42,384,100,64,128,97.059
sse42,384,100,64,200,97.879
sse42,384,100,64,256,98.179
sse42,384,100,64,300,98.319
sse42,384,100,64,400,98.546
sse42,384,100,64,512,98.690
sse42,384,100,128,100,97.076
sse42,384,100,128,128,97.076
sse42,384,100,128,200,97.896
sse42,384,100,128,256,98.214
sse42,384,100,128,300,98.366
sse42,384,100,128,400,98.599
sse42,384,100,128,512,98.751
